comment,sentiment_score
tiktok dancer outplaying pandemic p bruh,1
I don't get some of these. How is it a regrade is Reed Sheppard is evaluated on what you think will happen and not on him being terrible for 5 months now.,1
"Bronny should have been a top 10 pick..He is destroying the g league, and he is about to be the face of the NBA.",2
Your estimation of Ron Holland is dead wrong. He is one of the very few defensive difference makers of this draft class. He´d certainly go top 10 in a Re-draft.,1
Why the thumbnail guy in the Grizzlies jersey look like Sneako lmao,1
That bad grading on Kel’el Ware isn’t aging well lol,1
"Downvoting this nonsense. Overrated the fuck outta Knecht. 
Didnt do a full first rounder either...",1
This aged terribly in just two months with Ware being the most impressive rookie with the highest upside.,1
Honestly what a forgettable year,1
No yves missi equals no ball knowledge,1
worst draft ever hands down,1
I was glad my spirit took castle it number four. And I wanted them to take Edie at number eight. But they traded it away for a 2031 first round pick. Which made no sense cause we need all the help we can get right now. Whenever the Spurs take Wemby out. Stats show that the team just fall apart.  Edi would’ve helped out the spurs tremendously. And since Wemby can move like a guard. He can play power forward sometimes when EDi is in the game at the same time he is.,2
You put Sarr too low in my opinion,2
This guy def doesn’t watch the wizards ☠️,1
how can you give alex sarr a C when everything you said about Risacher goes for him too??,1
"Reed Sheppard is in bust territory. He's literally been the worst player on the Rockets this season, and one of the worst rookies in general.",1
"To not have Jaylen Wells in the top 10 redraft made this whole video ridiculous 
Best Shooter 
2nd Best Defender
Starting for a top 5 team",1
Trippin Buzelis is Trash 🗑️,1
Salaun takes 6 minutes to get a shot off,1
I thought you were using Brook Lopez as an insult at first and was going to come in here blazing.,1
Yves Missi was leading in Rookie leader. And this guy doesn't even know Missi exists. That's when you know all these sports content creators are just idiots and saying craps,1
jaylen wells the roty isnt even here,1
It hasn't even been long enough to call it terrible give it 3 years first,1
Knhecht gets a A grade? After shooting sub league average in 3p% and playing some of the worst defense a wing can play? What are you talking about?,1
"It is too early... 
For Instance I comment one month later and Sarr has been 30/72 3pt for December and January and is now ranked as #1 on NBA rookie ladder (which by the way show this draft class is weak)... 
Wait for a year or two before reassessing the draft.",2
am I dumb or did he completely pass over Yves Missi. As a pelicans fan I think he’s top 5 redraft,1
3 weeks later Alex Sarr is looking much better. That's why you don't make these videos before its even halfway through their rookie seasons lol,2
Since this vid was 3 weeks ago this isnt to bad me personally i have Yves Missi very high going at least top 7 in a redraft,1
Buzzi vert out of 10?? THATS BULLSHIT,1
Kelal ware draft grade is bad. Could be better id say. The developing him. Him not getting playing time should not make for a bad draft grade.,2
Not having jaylon wells in your top 10 redraft is criminal at this point,1
Wells and Missi??? No top 10?,1
Where the fuck is jaylen wells in tne redraft should be one,1
"idk why people call this draft class so terrible, let’s see u play.",1
no jaylen wells?,1
absurd not to have yves missi in your top 10! good video otherwise,1
"When he likes the pick, he plays 
hi-lights in the background instead of their lowlights. Lol anyone else notice this?",2
The fact you didn’t put Missi in this video makes it lose a lot of credibility.,2
No Jaylen wells this list is trash 🗑️,1
no MISSI ???? dude is ballin,1
Wells over knecht anyday of the week i would prefer consistency and wells is alot better of a defender,2
I was screaming from the roof tops that Sarr was terrible but no one wanted to listen 😭 seeing him play so many times in person being from Perth he looked so bad out there in our nbl what made anyone think he would be an nba ready player.,1
What a stupid video title.,1
I would never draft Jared McCain 💅,1
"C'mon now, Ja'Kobe Walter is ballin out.  Don't be sleepin' on him.",1
U speed up your voice?,1
The lottery is rigged by Silver and Bron could end up in prison and TV ratings are tanking.,1
Do the regrade after the season is over. The season is far from being over,2
"Sorry lad, I stop watching at the A for Zach Edey. Probably there is a reason that very tall players don't play at NBA",1
I have a hard time not putting Missi in the top-10. I’d put him in over Salaun.,2
Jared McCain is not above castle,2
Atlanta Hawks biggest MISTAKE not DRAFT Bronny James Jr in 1st overall pick 😅😂😅😂😅😂😅😂😅😂😅😅😂😅😂😅😂😅😂😅😂😅😂😅😂😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅,1
Why most the highlights misses for reed and sarr,2
"hmm you heard the ""why isn't the american payer n°1""",1
Embarrassing to leave out the rookie who’s leading the class in double-doubles…,1
"No way you made a redraft and completely forgot last month's Rookie of the Month in Jaylen Wells...didn't even give any love for the Grizzlies drafting him at like #40

12 PPG hitting 38% of his threes as an early second rounder lol",1
Stopping that high in the draft is some basic ass shit. Yves Missi was one of the biggest steals.,2
People laughed at the Sixers taking McCain over Knecht. Who's laughing now?? lol,1
"DID YOU SEE YVES MISSI PLAYNG BRO
WTF",1
"I would not go that hard on Sarr considering the  ""leaders"" of your team are Poole and Kuzma. Doesn't exactly set you for success.",2
i will give you an INC grade for not doing the whole 1st round.,1
Knecht is  traffic cone on defense.,2
You need to move your image into a corner and not block the video.,1
Jared McCain ROTY also he's a YouTuber that right there makes you a #1 top guy in the 2024 draft. 🏀👏,1
Not sure how Jaylen Wells is not a top 10 pick. He literally guards the best player on the other team as a rookie and shoots lights out.,2
Totally agree about Reed. Wish he would’ve gone to a team that could give him minutes but it is what it is,1
Do you think Edey will actually become a rim protector on the level of Brook Lopez cause that is at least half of Brook’s value,2
