comment,sentiment_score
"Where would you put Hukportie that went to the Knicks. He’s been much better than expected. Once he figures out how to stop fouling so much he can be a defensive beast. 
Zach eddy has the same foul trouble issues as well though.",4
"Umm…yes, I’m a Wolves homer, but I can honestly say that Rob Dillingham is a breath of fresh air and I wouldn’t re-pick anyone else in this draft. He’s quick and flashy, exciting to watch. He’s still too skinny and his defense needs work, but this guy has the potential to be a star in this league. One thing is for sure: Dilly is NO bust. Coach Finch just needs to play Dilly more, and that’s on Finch—not on Dillingham. 

If Dilly were in a faster, run ‘n’ gun offense of, say, Don Nelson’s, Rob would be a 20-22 ppg / 7-8 asst guy every night. When Mike Conley finally retires at the end of the season, you’ll see a big change in how the Wolves operate as Dilly will get all those minutes…and he’ll bloom right before our eyes. It’s coming. Don’t miss it!

Also, Terrence Shannon Jr. is a stud, and he’s gonna be a 20 ppg / 7-8 rebounds per game guy, too. If you add him to this re-draft list, he’d be in the top 10, too…likely top 7. Again, it’s Coach Finch holding him back. Get the man more playing time, and we’ll see…just like we saw the other night as the Wolves came back from 25 down to beat the Thunder in OT. That wasn’t a fluke, folks. TJ is relentless on offense. He doesn’t stop.

The sky is the limit for these two young guys on the Wolves. Add in 2nd year man Jaylen Clark’s defense and the Ant Man…woah.",4
liked and subbed cuz of the magic shirt,5
devious work with the highlight package to shoe in your narrative,5
Dalton Knect should've been 1 or 2,3
Where is Bronny James 😂😂😂,5
aging like milk on a radiator.,4
What’s the draft potential of fletcher loyer,4
Wow Kel’el Ware won rookie of the month and shot up the Rookie Of The Year race as soon as Spo gave him minutes. You did him dirty here.,5
Your Ron Holland take will age like milk.,5
Good list but no Jaylen Wells who’s actually played better than Edey for the Grizzlies makes it lose so much credibility.,3
Brook Lopez is a 3 pt sharp shooter,4
Wells & Collier are easy top 10 picks if redrafted.  Collier's ceiling may be #1 just like it was going into USC,4
C for Sarr and B for Sheppard is hilarious,5
Clingan is off to a good start. Bigs take time to develop and he is young. He will be a defensive force.,4
"as a pistons fan, i would definitely say you’re underrating holland. i’d agree he hasn’t been a top 5 caliber pick, but his defense is some of the best i’ve seen among most perimeter defenders this season, and ive watched 30+ games this season. he sometimes will guard the pg full court for a whole quarter or two in the 2nd/3rd, something i haven’t seen many players be able to do. also is insanely valuable as a cutter and hustle guy, just gets every loose ball and runs the floor too fast for anyone to catch. his shooting needs work but he’s been progressing",4
"Kelel ware C 😂  rookie of the month , bad re draft",5
He cut it off at Tristan de Silva😢,3
"I'm sorry but you don't know ball. Sheppard and Salaun don't see the court because they're fucking ass, shooting like 30% from the field. Kelel Ware is really good and so does Jaylen Wells and Yves Missi you didn't even mention. Knecht is good but he ain't better than Sarr and Risacher.",3
